The	O
band	O
also	O
shared	O
membership	O
with	O
the	O
similar	O
,	O
defunct	O
group	O
Out	PERSON.ARTIST,PERSON.MUSICIAN
Hud	PERSON.ARTIST,PERSON.MUSICIAN
(	O
including	O
Tyler	O
Pope	O
,	O
who	O
has	O
played	O
with	O
LCD	PERSON.ARTIST,PERSON.MUSICIAN
Soundsystem	PERSON.ARTIST,PERSON.MUSICIAN
and	O
written	O
music	O
for	O
Cake	PERSON.ARTIST,PERSON.MUSICIAN
)	O
.	O

On	O
November	O
8	O
,	O
2009	O
,	O
the	O
band	O
's	O
former	O
drummer	O
Jerry	O
Fuchs	O
-	O
who	O
was	O
also	O
a	O
member	O
of	O
Maserati	PERSON.ARTIST,PERSON.MUSICIAN
,	O
Turing	PERSON.ARTIST,PERSON.MUSICIAN
Machine	PERSON.ARTIST,PERSON.MUSICIAN
and	O
The	PERSON,PERSON.ARTIST
Juan	PERSON,PERSON.ARTIST
MacLean	PERSON,PERSON.ARTIST
-	O
died	O
after	O
falling	O
down	O
an	O
elevator	O
shaft	O
.	O

There	O
are	O
four	O
versions	O
of	O
this	O
cover	O
art	O
,	O
which	O
consist	O
of	O
modified	O
photographs	O
of	O
nature	O
around	O
the	O
band	O
's	O
Mosfellsbær	LOCATION,LOCATION.CITY
studio	O
,	O
sold	O
in	O
four	O
parts	O
of	O
the	O
world	O
:	O
Europe	O
,	O
the	O
United	O
States	O
,	O
Australia	O
,	O
and	O
Japan	O
.	O

A	O
music	O
video	O
for	O
"	O
Untitled	O
#	O
1	O
"	O
directed	O
by	O
Floria	PERSON,PERSON.ARTIST,PERSON.AUTHOR,PERSON.DIRECTOR
Sigismondi	PERSON,PERSON.ARTIST,PERSON.AUTHOR,PERSON.DIRECTOR
was	O
released	O
in	O
April	O
2003	O
.	O

The	O
base	O
unit	O
of	O
both	O
currencies	O
shared	O
the	O
same	O
Chinese	O
character	O
(	O
traditional	O
Chinese	O
:	O
圓	O
;	O
simplified	MISC
Chinese	MISC
:	O
圆	O
;	O
Shinjitai	MISC
:	O
円	O
)	O
pronounced	O
yuan	O
in	O
Mandarin	LANGUAGE
Chinese	LANGUAGE
and	O
en	O
in	O
Standard	LANGUAGE
Japanese	LANGUAGE
.	O

It	O
is	O
also	O
used	O
wherever	O
a	O
backslash	O
is	O
used	O
,	O
such	O
as	O
the	O
directory	O
separator	O
character	O
and	O
the	O
general	O
escape	O
character	O
,	O
essentially	O
making	O
it	O
a	O
backslash	O
with	O
a	O
yen	O
sign	O
look	O
,	O
a	O
peculiarity	O
that	O
stems	O
from	O
JIS	MISC
X	MISC
0201	MISC
.	O

A	O
very	O
similar	O
glyph	O
has	O
also	O
sometimes	O
been	O
used	O
for	O
the	O
uppercase	O
form	O
of	O
Ɓ	MISC
ɓ	MISC
.	O

In	O
upside-down	O
text	O
,	O
the	O
letter	O
in	O
lowercase	O
form	O
is	O
often	O
used	O
