The	O
band	O
also	O
shared	O
membership	O
with	O
the	O
similar	O
,	O
defunct	O
group	O
Out	/common/topic,/music/artist,/broadcast/artist,/music/musical_group
Hud	/common/topic,/music/artist,/broadcast/artist,/music/musical_group
(	O
including	O
Tyler	O
Pope	O
,	O
who	O
has	O
played	O
with	O
LCD	/internet/social_network_user,/broadcast/artist,/music/artist,/music/musical_group,/common/topic
Soundsystem	/internet/social_network_user,/broadcast/artist,/music/artist,/music/musical_group,/common/topic
and	O
written	O
music	O
for	O
Cake	/music/musical_group,/base/websites/website,/common/topic,/broadcast/artist,/base/moscratch/shce021709,/base/moscratch/topic,/music/artist,/base/myspace/myspace_user,/internet/social_network_user
)	O
.	O

On	O
November	O
8	O
,	O
2009	O
,	O
the	O
band	O
's	O
former	O
drummer	O
Jerry	O
Fuchs	O
-	O
who	O
was	O
also	O
a	O
member	O
of	O
Maserati	/common/topic,/music/musical_group,/internet/social_network_user,/base/myspace/myspace_user,/music/artist
,	O
Turing	/music/musical_group,/music/artist,/base/jadetree/topic,/common/topic
Machine	/music/musical_group,/music/artist,/base/jadetree/topic,/common/topic
and	O
The	/music/artist,/people/person,/base/myspace/myspace_user,/common/topic,/broadcast/artist,/music/group_member,/internet/social_network_user
Juan	/music/artist,/people/person,/base/myspace/myspace_user,/common/topic,/broadcast/artist,/music/group_member,/internet/social_network_user
MacLean	/music/artist,/people/person,/base/myspace/myspace_user,/common/topic,/broadcast/artist,/music/group_member,/internet/social_network_user
-	O
died	O
after	O
falling	O
down	O
an	O
elevator	O
shaft	O
.	O

There	O
are	O
four	O
versions	O
of	O
this	O
cover	O
art	O
,	O
which	O
consist	O
of	O
modified	O
photographs	O
of	O
nature	O
around	O
the	O
band	O
's	O
Mosfellsbær	/common/topic,/location/statistical_region,/location/dated_location,/location/location,/location/citytown
studio	O
,	O
sold	O
in	O
four	O
parts	O
of	O
the	O
world	O
:	O
Europe	O
,	O
the	O
United	O
States	O
,	O
Australia	O
,	O
and	O
Japan	O
.	O

A	O
music	O
video	O
for	O
"	O
Untitled	O
#	O
1	O
"	O
directed	O
by	O
Floria	/book/author,/common/topic,/people/person,/film/director,/visual_art/visual_artist,/film/writer
Sigismondi	/book/author,/common/topic,/people/person,/film/director,/visual_art/visual_artist,/film/writer
was	O
released	O
in	O
April	O
2003	O
.	O

The	O
base	O
unit	O
of	O
both	O
currencies	O
shared	O
the	O
same	O
Chinese	O
character	O
(	O
traditional	O
Chinese	O
:	O
圓	O
;	O
simplified	/common/topic,/language/language_writing_system,/base/medicalchinesetermswithpinyin/topic
Chinese	/common/topic,/language/language_writing_system,/base/medicalchinesetermswithpinyin/topic
:	O
圆	O
;	O
Shinjitai	/common/topic
:	O
円	O
)	O
pronounced	O
yuan	O
in	O
Mandarin	/language/human_language,/common/topic
Chinese	/language/human_language,/common/topic
and	O
en	O
in	O
